time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
4038.6,-0.0036303584905660385,92.603102,0.070959,-80.371441,70.02603,1.3081761006289312e-06
4054.5,0.01552376100628931,93.436944,0.2498,-79.608467,72.162358,1.6981132075471698e-06
4070.4,-0.001487647798742138,90.989715,0.533322,-77.594215,75.397368,-2.389937106918239e-06
4086.3,0.00848033962264151,91.925214,0.06394,-77.533177,64.074831,-2.1949685534591193e-06
4102.2,-0.003862905660377358,93.135692,0.093848,-77.44162,64.532616,1.2955974842767294e-06
4118.1,0.00013514465408804958,92.872873,0.099952,-77.44162,64.318983,1.3081761006289308e-06
4134.0,-0.001271327044025157,92.868641,0.067907,-77.380582,63.403414,8.742138364779872e-07
4149.9,-0.0012756918238993706,91.84296,0.086829,-77.502658,63.494971,1.0628930817610062e-06
4165.8,0.002189314465408805,91.839025,0.073096,-77.44162,63.281338,-7.106918238993712e-07
4181.7,-0.004639666666666667,91.845844,0.082556,-77.533177,65.936488,2.8930817610062893e-06
4197.6,-0.0006628553459119501,92.937452,0.066687,-77.472139,63.128743,1.1320754716981131e-06
4213.5,0.004610075471698114,91.728246,0.084082,-77.472139,68.072816,-1.6855345911949686e-06
4229.4,0.003246641509433962,91.874399,0.090491,-77.502658,64.593654,-1.0817610062893083e-06
4245.3,-0.0009964150943396223,91.862827,0.062414,-77.502658,68.561119,1.962264150943396e-06
4261.2,0.0016793773584905657,91.881049,0.070349,-77.533177,69.110461,-5.471698113207546e-07
4277.1,-0.000582421383647798,91.872348,0.078894,-77.411101,68.988385,1.6352201257861608e-07
4293.0,-0.0029900754716981133,91.859072,0.068823,-77.44162,69.385132,2.2893081761006295e-06
4308.9,-4.3132075471697956e-05,91.851678,0.082556,-77.319544,68.927347,5.974842767295598e-07
4324.8,0.0003165849056603771,91.822191,0.075232,-77.411101,63.372895,-6.289308176100633e-08
4340.7,0.0019854339622641516,91.738901,0.082556,-77.350063,63.372895,-1e-06
4356.6,-0.005725672955974843,92.000535,0.060278,-77.350063,78.540822,4.465408805031447e-06
4372.5,0.005260981132075471,91.989396,0.076147,-77.411101,71.582497,-2.2327044025157235e-06
4388.4,-0.001690924528301887,92.000412,0.076147,-77.380582,72.284433,1.754716981132075e-06
4404.3,0.0015203647798742136,90.804722,0.070044,-77.472139,75.305811,-6.100628930817609e-07
4420.2,0.00029718238993710713,90.765908,0.084998,-77.44162,74.970103,-1.0062893081761012e-07
4436.1,-0.0013268113207547166,91.905534,0.073706,-77.44162,75.64152,2.408805031446541e-06
4452.0,1.4201257861635185e-05,91.99649,0.0557,-77.380582,77.350582,1.6163522012578614e-06
4467.9,0.0037915408805031447,89.887256,0.063635,-77.533177,79.670023,-2.7044025157232702e-06
4483.8,-0.004479446540880503,89.444394,0.070349,-77.533177,77.136949,2.628930817610063e-06
4499.7,0.005596320754716981,91.849593,0.085913,-77.533177,77.472658,-2.559748427672956e-06
4515.6,-0.004348559748427672,91.862049,0.059057,-77.533177,77.899923,4.106918238993711e-06
4531.5,0.004126314465408805,91.753908,0.074927,-77.502658,77.045392,-5.471698113207548e-07
4547.4,-0.0006778427672955975,90.521781,0.070044,-77.472139,78.357708,6.289308176100526e-09
4563.3,-0.0025169559748427672,90.001373,0.076147,-77.533177,78.052518,2.0125786163522013e-06
4579.2,0.004113811320754717,90.873849,0.062109,-77.533177,79.120682,-2.4654088050314463e-06
4595.1,-0.0006603710691823897,92.998293,0.07157,-77.563696,77.99148,7.61006289308176e-07
